1,"Information Technology",1,2021-10-30T10:58:31.000000Z,2021-10-30T10:58:31.000000Z
2,"Human Resource",1,2021-10-30T10:58:44.000000Z,2021-10-30T10:58:44.000000Z
4,"MakBRC ENTITY",1,2021-10-30T10:59:08.000000Z,2021-11-07T07:45:37.000000Z
5,Procurement,1,2021-10-30T10:59:50.000000Z,2021-10-30T10:59:50.000000Z
6,Accounts,1,2021-10-30T11:00:11.000000Z,2021-10-30T11:00:11.000000Z
7,Operations,1,2021-10-30T11:00:22.000000Z,2021-10-30T11:00:22.000000Z
8,"MBL LAB",1,2021-11-07T09:17:22.000000Z,2021-11-07T09:17:22.000000Z
